video_key,video_annotation_type,video_path,video_relpath,video_size_bytes,video_mtime_ns,container_reported_frames,frames_read_before_stop,read_minus_reported,stop_reason,error_message,decoder_backend,fallback_reason,decode_seconds,decoding_completed,header_source,header_probe_error,decoded_width,decoded_height,decoder_package_version,packets_processed,frames_returned_during_flush,copy_seconds,gpu_device,needs_review
04a78ef00c5245e0,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/04a78ef00c5245e0.mp4,labelled_videos/04a78ef00c5245e0.mp4,833894762,1747654904000000000,50986,50986,0,read_completed,,nvdec,,6.944952012000044,True,pyav_container_header,,336,336,2.2.3,50987,12,8.582848789999957,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
0531325b64674948,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/0531325b64674948.mp4,labelled_videos/0531325b64674948.mp4,263695527,1729775847000000000,16151,16151,0,read_completed,,nvdec,,2.393767812999954,True,pyav_container_header,,336,336,2.2.3,16152,12,3.882881793000024,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
0728084c8da942d9,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/0728084c8da942d9.mp4,labelled_videos/0728084c8da942d9.mp4,798305289,1736091518000000000,48948,48948,0,read_completed,,nvdec,,6.641386046999969,True,pyav_container_header,,336,336,2.2.3,48949,12,8.393388117999962,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
07c1fa15a20a4398,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/07c1fa15a20a4398.mp4,labelled_videos/07c1fa15a20a4398.mp4,603279074,1750337737000000000,38620,38620,0,read_completed,,nvdec,,5.145152633000066,True,pyav_container_header,,336,336,2.2.3,38621,10,7.767917145999945,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
131368cc17e44240,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/131368cc17e44240.mp4,labelled_videos/131368cc17e44240.mp4,573550685,1752243210000000000,31721,31721,0,read_completed,,nvdec,,4.390446280999981,True,pyav_container_header,,336,336,2.2.3,31722,12,6.6227146070000344,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
2fc3db471f9d44c0,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/2fc3db471f9d44c0.mp4,labelled_videos/2fc3db471f9d44c0.mp4,1135646312,1728303080000000000,76859,76859,0,read_completed,,nvdec,,9.891507422000018,True,pyav_container_header,,336,336,2.2.3,76860,12,19.25096506500006,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
39960e5e099a45ca,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/39960e5e099a45ca.mp4,labelled_videos/39960e5e099a45ca.mp4,494369318,1754138411000000000,32943,32943,0,read_completed,,nvdec,,4.390577796999992,True,pyav_container_header,,336,336,2.2.3,32944,4,7.30499657200005,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
3ada4222967f421d,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/3ada4222967f421d.mp4,labelled_videos/3ada4222967f421d.mp4,619956511,1758977167000000000,40529,40529,0,read_completed,,nvdec,,5.390716110999961,True,pyav_container_header,,336,336,2.2.3,40530,12,8.673689015999912,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
3c8d5f0b90d7475d,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/3c8d5f0b90d7475d.mp4,labelled_videos/3c8d5f0b90d7475d.mp4,664863698,1738854210000000000,45033,45033,0,read_completed,,nvdec,,5.8949819880000405,True,pyav_container_header,,336,336,2.2.3,45034,12,8.46471274299995,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
4560e83f9afc4685,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/4560e83f9afc4685.mp4,labelled_videos/4560e83f9afc4685.mp4,558995434,1760708909000000000,35019,35019,0,read_completed,,nvdec,,4.640823275999992,True,pyav_container_header,,336,336,2.2.3,35020,9,9.752119768999933,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
48579eec79784294,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/48579eec79784294.mp4,labelled_videos/48579eec79784294.mp4,593022621,1752929752000000000,34379,34379,0,read_completed,,nvdec,,4.648785965000002,True,pyav_container_header,,336,336,2.2.3,34380,12,9.843038868000008,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
495f16498db34d3c,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/495f16498db34d3c.mp4,labelled_videos/495f16498db34d3c.mp4,511477978,1743853603000000000,32894,32894,0,read_completed,,nvdec,,4.390977306999957,True,pyav_container_header,,336,336,2.2.3,32895,12,6.080126414000006,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
4aebc5cb2d4847aa,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/4aebc5cb2d4847aa.mp4,labelled_videos/4aebc5cb2d4847aa.mp4,599976073,1733495542000000000,28554,28554,0,read_completed,,nvdec,,4.143329801999926,True,pyav_container_header,,336,336,2.2.3,28555,12,7.740329033999842,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
5bb1d3cc7dc64cec,partially_labelled,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/5bb1d3cc7dc64cec.mp4,labelled_videos/5bb1d3cc7dc64cec.mp4,684046977,1727439686000000000,34183,34183,0,read_completed,,nvdec,,4.642412831999991,True,pyav_container_header,,336,336,2.2.3,34184,12,6.79368949600007,"{""cuda_driver_api_version"": 13000, ""cuda_visible_device_count"": 1, ""gpu_id"": 0, ""gpu_name"": ""NVIDIA RTX PRO 6000 Blackwell Server Edition"", ""nvdec_driver_library_available"": true}",False
