video_key,video_filename,video_path,video_relpath,video_annotation_type,video_size_bytes,container_opened,first_frame_readable,container_fps,container_reported_frame_count,width,height,estimated_container_duration_seconds
04a78ef00c5245e0,04a78ef00c5245e0.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/04a78ef00c5245e0.mp4,data/raw/kvasir_capsule/osfstorage/labelled_videos/04a78ef00c5245e0.mp4,partially_labelled,833894762,True,True,30.0,50986,336,336,1699.5333333333333
0531325b64674948,0531325b64674948.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/0531325b64674948.mp4,data/raw/kvasir_capsule/osfstorage/labelled_videos/0531325b64674948.mp4,partially_labelled,263695527,True,True,30.0,16151,336,336,538.3666666666667
055bbbec392b4f3a,055bbbec392b4f3a.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/unlabelled_videos/055bbbec392b4f3a.mp4,data/raw/kvasir_capsule/osfstorage/unlabelled_videos/055bbbec392b4f3a.mp4,fully_unlabelled,736094508,True,True,30.0,36533,336,336,1217.7666666666667
0728084c8da942d9,0728084c8da942d9.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/0728084c8da942d9.mp4,data/raw/kvasir_capsule/osfstorage/labelled_videos/0728084c8da942d9.mp4,partially_labelled,798305289,True,True,30.0,48948,336,336,1631.6
07c1fa15a20a4398,07c1fa15a20a4398.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/07c1fa15a20a4398.mp4,data/raw/kvasir_capsule/osfstorage/labelled_videos/07c1fa15a20a4398.mp4,partially_labelled,603279074,True,True,30.0,38620,336,336,1287.3333333333333
08d09e4d7aa140f7,08d09e4d7aa140f7.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/unlabelled_videos/08d09e4d7aa140f7.mp4,data/raw/kvasir_capsule/osfstorage/unlabelled_videos/08d09e4d7aa140f7.mp4,fully_unlabelled,930884939,True,True,30.0,38990,336,336,1299.6666666666667
131368cc17e44240,131368cc17e44240.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/labelled_videos/131368cc17e44240.mp4,data/raw/kvasir_capsule/osfstorage/labelled_videos/131368cc17e44240.mp4,partially_labelled,573550685,True,True,30.0,31721,336,336,1057.3666666666666
1342422630854f70,1342422630854f70.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/unlabelled_videos/1342422630854f70.mp4,data/raw/kvasir_capsule/osfstorage/unlabelled_videos/1342422630854f70.mp4,fully_unlabelled,1171233257,True,True,30.0,58968,336,336,1965.6
199b056fd09f47c9,199b056fd09f47c9.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/unlabelled_videos/199b056fd09f47c9.mp4,data/raw/kvasir_capsule/osfstorage/unlabelled_videos/199b056fd09f47c9.mp4,fully_unlabelled,512790175,True,True,30.0,25853,336,336,861.7666666666667
1a14ba6768604ae2,1a14ba6768604ae2.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/unlabelled_videos/1a14ba6768604ae2.mp4,data/raw/kvasir_capsule/osfstorage/unlabelled_videos/1a14ba6768604ae2.mp4,fully_unlabelled,510981246,True,True,30.0,22571,336,336,752.3666666666667
2213cbc25f124b25,2213cbc25f124b25.mp4,/content/drive/MyDrive/MMVQA_Clinical/data/raw/kvasir_capsule/osfstorage/unlabelled_videos/2213cbc25f124b25.mp4,data/raw/kvasir_capsule/osfstorage/unlabelled_videos/2213cbc25f124b25.mp4,fully_unlabelled,625894700,True,True,30.0,29491,336,336,983.0333333333333
