index,phase,experiment_name,run_id,dataset_name,model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,human_or_machine,error
0,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the color of graph with 56 as the highest value?,Blue,Blue,blue,blue,1,0,0,
1,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,In which year the difference between blue and green graph 1?,2018,2005,2018,2005,0,0,0,
2,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What does the blue line represent?,Not too much/not at all,Obama,not too much/not at all,obama,0,0,0,
3,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the max value of blue line?,0.72,61,072,61,0,0,0,
4,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,68,62,68,62,0,0,0,
5,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which line has the lowest value of 71%?,Economy,Budget deficit,economy,budget deficit,0,0,0,
6,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the unfavourable value in 2014?,64,0.50,64,050,0,0,0,
7,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the median value of favourable line in the graph?,40,50,40,50,0,0,0,
8,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which answer response has the highest value on this graph?,Disapprove,Jan 2014,disapprove,jan 2014,0,0,0,
9,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many data points on the disapprove line are above 50?,2,3,2,3,0,0,0,
10,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which indicator remains all time lowest from Dec. 2008 to Sep. 2011?,Mostly good news,Jun 2011,mostly good news,jun 2011,0,0,0,
11,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much value of 'Mostly bad news' increased from Jan. 2011 to Sept. 2011?,37,0.46,37,046,0,0,0,
12,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,When does the red line reach the peak?,44538,44,44538,44,0,0,0,
13,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the total sum of peak points of all three lines?,155,140,155,140,0,0,0,
14,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,When does the yellow line reach the peak?,44207,44,44207,44,0,0,0,
